date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
4/27/2023,,,7,B,20,start,12:00 PM,43.2,,,,,,
4/27/2023,,,7,B,30,start,12:00 PM,42.8,,,,,,
4/27/2023,,,7,C,20,start,12:01 PM,42.2,,,,,,
4/27/2023,,,7,C,30,start,12:02 PM,42.6,,,,,,
4/27/2023,,,8,A,20,start,12:02 PM,42.4,,,,,,
4/27/2023,,,8,A,30,start,12:03 PM,42.7,,,,,,
4/27/2023,,,8,B,20,start,12:03 PM,43,,,,,,
4/27/2023,,,8,B,30,start,12:04 PM,42.1,,,,,,
4/27/2023,,,8,C,20,start,12:05 PM,41.8,,,,,,
4/27/2023,,,8,C,30,start,12:05 PM,41.2,,,,,,
4/27/2023,,blank,blank,,,start,12:06 PM,42.6,,,,,,
4/27/2023,,std1000,,,,,12:32 PM,84.9,1,1000,,,,
4/27/2023,,std1000,,,,,12:32 PM,84.1,1,1000,,,,
4/27/2023,,,1,A,20,end,12:37 PM,114.2,,,,,,
4/27/2023,,,1,A,30,end,12:38 PM,52.7,,,,,,
4/27/2023,,,1,B,20,end,12:38 PM,76.2,,,,,,
4/27/2023,,,1,B,30,end,12:39 PM,44.6,,,,,,
4/27/2023,,,3,A,20,end,12:41 PM,79.2,,,,,,
4/27/2023,,,3,A,30,end,12:42 PM,50.7,,,,,,
4/27/2023,,,3,B,20,end,12:42 PM,111.6,,,,,,
4/27/2023,,,3,B,30,end,12:43 PM,54.7,,,,,,
4/27/2023,,,3,C,20,end,12:44 PM,97.9,,,,,,
4/27/2023,,,3,C,30,end,12:45 PM,53.4,,,,,,
4/27/2023,,,4,A,20,end,12:46 PM,79.7,,,,,,
4/27/2023,,,4,A,30,end,12:46 PM,47.3,,,,,,
4/27/2023,,,4,B,20,end,12:47 PM,127.4,,,,,,
4/27/2023,,,4,B,30,end,12:48 PM,58.4,,,,,,
4/27/2023,,,4,C,20,end,12:49 PM,89.9,,,,,,
4/27/2023,,,4,C,30,end,12:49 PM,53.1,,,,,,
4/27/2023,,std1000,,,,,12:51 PM,83.9,1,1000,,,,
4/27/2023,,std1000,,,,,12:52 PM,84.8,1,1000,,,,
4/27/2023,,,6,A,20,end,12:54 PM,89.9,,,,,,
4/27/2023,,,6,A,30,end,12:54 PM,53.1,,,,,,
4/27/2023,,,6,B,20,end,12:55 PM,75.7,,,,,,
4/27/2023,,,6,B,30,end,12:56 PM,44.6,,,,,,
4/27/2023,,,6,C,20,end,12:57 PM,82.7,,,,,,
4/27/2023,,,6,C,30,end,12:57 PM,45.3,,,,,,
4/27/2023,,,7,A,20,end,12:58 PM,85.1,,,,,,
4/27/2023,,,7,A,30,end,12:58 PM,45.9,,,,,,
4/27/2023,,,7,B,20,end,12:59 PM,75,,,,,,
4/27/2023,,,7,B,30,end,1:00 PM,41.4,,,,,,
4/27/2023,,,7,C,20,end,1:01 PM,80.3,,,,,,
4/27/2023,,,7,C,30,end,1:02 PM,42.3,,,,,,
4/27/2023,,,8,A,20,end,1:02 PM,78,,,,,,
4/27/2023,,,8,A,30,end,1:03 PM,44.7,,,,,,
4/27/2023,,,8,B,20,end,1:04 PM,66.2,,,,,,
4/27/2023,,,8,B,30,end,1:04 PM,40.9,,,,,,
4/27/2023,,,8,C,20,end,1:05 PM,79,,,,,,
4/27/2023,,,8,C,30,end,1:06 PM,42.1,,,,,,
4/27/2023,,blank,blank,,,end,1:07 PM,36,,,,,,
4/27/2023,,std1000,,,,,1:32 PM,87.8,1,1000,,,,
4/27/2023,,std1000,,,,,1:32 PM,84.5,1,1000,,,,
4/27/2023,,,1,A,20,end,1:37 PM,184.2,,,,,,
4/27/2023,,,1,A,30,end,1:38 PM,70.9,,,,,,
4/27/2023,,,1,B,20,end,1:38 PM,118.4,,,,,,
4/27/2023,,,1,B,30,end,1:39 PM,52.9,,,,,,
4/27/2023,,,3,A,20,end,1:40 PM,125.1,,,,,,
4/27/2023,,,3,A,30,end,1:41 PM,70.8,,,,,,
4/27/2023,,,3,B,20,end,1:42 PM,184.8,,,,,,
4/27/2023,,,3,B,30,end,1:43 PM,78.2,,,,,,
4/27/2023,,,3,C,20,end,1:44 PM,159.4,,,,,,
4/27/2023,,,3,C,30,end,1:44 PM,72.8,,,,,,
4/27/2023,,,4,A,20,end,1:46 PM,130.4,,,,,,
4/27/2023,,,4,A,30,end,1:47 PM,58.1,,,,,,
4/27/2023,,,4,B,20,end,1:47 PM,218.5,,,,,,
4/27/2023,,,4,B,30,end,1:48 PM,85.8,,,,,,
4/27/2023,,,4,C,20,end,1:49 PM,149.7,,,,,,
4/27/2023,,,4,C,30,end,1:49 PM,72.4,,,,,,
4/27/2023,,std1000,,,,,1:50 PM,84.2,1,1000,,,,
4/27/2023,,std1000,,,,,1:51 PM,83.8,1,1000,,,,
4/27/2023,,,6,A,20,end,1:54 PM,156.5,,,,,,
4/27/2023,,,6,A,30,end,1:55 PM,74.9,,,,,,
4/27/2023,,,6,B,20,end,1:55 PM,127.6,,,,,,
4/27/2023,,,6,B,30,end,1:56 PM,58.1,,,,,,
4/27/2023,,,6,C,20,end,1:57 PM,143.4,,,,,,
4/27/2023,,,6,C,30,end,1:58 PM,58.1,,,,,,
4/27/2023,,,7,A,20,end,1:58 PM,150.5,,,,,,
4/27/2023,,,7,A,30,end,1:59 PM,61.8,,,,,,
4/27/2023,,,7,B,20,end,2:00 PM,129.3,,,,,,
4/27/2023,,,7,B,30,end,2:01 PM,48.6,,,,,,
4/27/2023,,,7,C,20,end,2:01 PM,133.3,,,,,,
4/27/2023,,,7,C,30,end,2:02 PM,50,,,,,,
4/27/2023,,,8,A,20,end,2:03 PM,138.5,,,,,,
4/27/2023,,,8,A,30,end,2:04 PM,58.6,,,,,,
4/27/2023,,,8,B,20,end,2:04 PM,112.7,,,,,,
4/27/2023,,,8,B,30,end,2:05 PM,50.5,,,,,,
4/27/2023,,,8,C,20,end,2:06 PM,144,,,,,,
4/27/2023,,,8,C,30,end,2:07 PM,53.9,,,,,,
4/27/2023,,blank,blank,,,end,2:08 PM,36,,,,,,
4/27/2023,,std1000,,,,,2:33 PM,92,1,1000,,,1,
4/27/2023,,std1000,,,,,2:34 PM,84.4,1,1000,,,,
4/27/2023,,std1000,,,,,2:35 PM,84.4,1,1000,,,,
4/27/2023,,,1,A,20,end,2:37 PM,245,,,,,,
4/27/2023,,,1,A,30,end,2:38 PM,89.7,,,,,,
4/27/2023,,,1,B,20,end,2:38 PM,156.3,,,,,,
4/27/2023,,,1,B,30,end,2:39 PM,60,,,,,,
4/27/2023,,,3,A,20,end,2:40 PM,167.9,,,,,,
4/27/2023,,,3,A,30,end,2:41 PM,88.7,,,,,,
4/27/2023,,,3,B,20,end,2:42 PM,254.6,,,,,,
4/27/2023,,,3,B,30,end,2:42 PM,100,,,,,,
4/27/2023,,,3,C,20,end,2:43 PM,215.1,,,,,,
4/27/2023,,,3,C,30,end,2:44 PM,92.5,,,,,,
4/27/2023,,,4,A,20,end,2:45 PM,175.9,,,,,,
4/27/2023,,,4,A,30,end,2:46 PM,68.1,,,,,,
4/27/2023,,,4,B,20,end,2:47 PM,305,,,,,,
4/27/2023,,,4,B,30,end,2:48 PM,111.9,,,,,,
4/27/2023,,,4,C,20,end,2:48 PM,204.3,,,,,,
4/27/2023,,,4,C,30,end,2:49 PM,93.4,,,,,,
4/27/2023,,std1000,,,,,2:50 PM,84.1,1,1000,,,,
4/27/2023,,std1000,,,,,2:51 PM,83.5,1,1000,,,,
4/27/2023,,,6,A,20,end,2:54 PM,218.1,,,,,,
4/27/2023,,,6,A,30,end,2:55 PM,97.5,,,,,,
4/27/2023,,,6,B,20,end,2:55 PM,173.7,,,,,,
4/27/2023,,,6,B,30,end,2:56 PM,72,,,,,,
4/27/2023,,,6,C,20,end,2:57 PM,199.4,,,,,,
4/27/2023,,,6,C,30,end,2:58 PM,72.9,,,,,,
4/27/2023,,,7,A,20,end,2:59 PM,212.7,,,,,,
4/27/2023,,,7,A,30,end,3:00 PM,79.3,,,,,,
4/27/2023,,,7,B,20,end,3:01 PM,179,,,,,,
4/27/2023,,,7,B,30,end,3:01 PM,55.7,,,,,,
4/27/2023,,,7,C,20,end,3:02 PM,172.7,,,,,,
4/27/2023,,,7,C,30,end,3:03 PM,57.6,,,,,,
4/27/2023,,,8,A,20,end,3:04 PM,194.3,,,,,,
4/27/2023,,,8,A,30,end,3:04 PM,73.6,,,,,,
4/27/2023,,,8,B,20,end,3:05 PM,156.7,,,,,,
4/27/2023,,,8,B,30,end,3:06 PM,61.5,,,,,,
4/27/2023,,,8,C,20,end,3:07 PM,206.1,,,,,,
4/27/2023,,,8,C,30,end,3:07 PM,65.7,,,,,,
4/27/2023,,blank,blank,,,end,3:08 PM,37,,,,,,
4/27/2023,,std1000,,,,,3:31 PM,84.7,1,1000,,,,
4/27/2023,,std1000,,,,,3:31 PM,84.7,1,1000,,,,
4/27/2023,,,1,A,20,end,3:37 PM,305.7,,,,,,
4/27/2023,,,1,A,30,end,3:38 PM,106.3,,,,,,
4/27/2023,,,1,B,20,end,3:38 PM,192.3,,,,,,
4/27/2023,,,1,B,30,end,3:39 PM,67.5,,,,,,
4/27/2023,,,3,A,20,end,3:40 PM,206.8,,,,,,
4/27/2023,,,3,A,30,end,3:41 PM,105.8,,,,,,
4/27/2023,,,3,B,20,end,3:42 PM,319,,,,,,
4/27/2023,,,3,B,30,end,3:43 PM,120.9,,,,,,
4/27/2023,,,3,C,20,end,3:43 PM,266,,,,,,
4/27/2023,,,3,C,30,end,3:44 PM,109.4,,,,,,
4/27/2023,,,4,A,20,end,3:45 PM,218.1,,,,,,
4/27/2023,,,4,A,30,end,3:46 PM,79.3,,,,,,
4/27/2023,,,4,B,20,end,3:47 PM,382.7,,,,,,
4/27/2023,,,4,B,30,end,3:48 PM,136.3,,,,,,
4/27/2023,,,4,C,20,end,3:49 PM,254.5,,,,,,
4/27/2023,,,4,C,30,end,3:49 PM,112.6,,,,,,
4/27/2023,,std1000,,,,,3:51 PM,84.9,,,,,,
4/27/2023,,std1000,,,,,3:51 PM,84.3,,,,,,
4/27/2023,,,6,A,20,end,3:54 PM,273.5,,,,,,
4/27/2023,,,6,A,30,end,3:55 PM,117.6,,,,,,
4/27/2023,,,6,B,20,end,3:56 PM,214.4,,,,,,
4/27/2023,,,6,B,30,end,3:56 PM,84.9,,,,,,
4/27/2023,,,6,C,20,end,3:57 PM,247.9,,,,,,
4/27/2023,,,6,C,30,end,3:58 PM,85.8,,,,,,
4/27/2023,,,7,A,20,end,3:59 PM,266.4,,,,,,
4/27/2023,,,7,A,30,end,4:00 PM,94.7,,,,,,
4/27/2023,,,7,B,20,end,4:01 PM,225.2,,,,,,
4/27/2023,,,7,B,30,end,4:01 PM,63.6,,,,,,
4/27/2023,,,7,C,20,end,4:02 PM,202.1,,,,,,
4/27/2023,,,7,C,30,end,4:03 PM,65.5,,,,,,
4/27/2023,,,8,A,20,end,4:04 PM,235.9,,,,,,
4/27/2023,,,8,A,30,end,4:05 PM,88.5,,,,,,
4/27/2023,,,8,B,20,end,4:06 PM,197.6,,,,,,
4/27/2023,,,8,B,30,end,4:06 PM,72,,,,,,
4/27/2023,,,8,C,20,end,4:07 PM,261.6,,,,,,
4/27/2023,,,8,C,30,end,4:08 PM,77.5,,,,,,
4/27/2023,,blank,blank,,,end,4:09 PM,37.7,,,,,,
